YawRotation,PitchRotation,RollRotation,ElapsedTimeSeconds
-1.318650,-37.024700,-2.520858,3.155000
0.140838,-38.857189,-3.927053,3.176000
1.285231,-40.111477,-5.197180,3.200000
2.008781,-40.809700,-6.180779,3.222000
2.409748,-41.417206,-6.852588,3.244000
2.697416,-41.996899,-7.298264,3.266000
2.998738,-42.424278,-7.605608,3.289000
3.129752,-42.471550,-7.525530,3.307000
3.229081,-42.589996,-7.312270,3.330000
3.303280,-42.760864,-7.101348,3.352000
3.384263,-42.832706,-6.842722,3.374000
3.527831,-42.780350,-6.589087,3.397000
3.672644,-42.552532,-6.295730,3.418000
3.808268,-42.143051,-5.930783,3.441000
3.870533,-41.556999,-5.553481,3.463000
3.904224,-40.959831,-5.173841,3.486000
3.921981,-40.336754,-4.747379,3.507000
4.054344,-39.888233,-4.312153,3.529000
4.161183,-39.393955,-3.998303,3.552000
4.133944,-38.894360,-3.674025,3.574000
3.965978,-38.293182,-3.512862,3.597000
3.638726,-37.775047,-3.298939,3.618000
3.240624,-37.218353,-3.075124,3.641000
2.740036,-36.520325,-2.761885,3.664000
2.185449,-35.699677,-2.275921,3.685000
1.479971,-34.674660,-1.613502,3.707000
0.510024,-33.597206,-0.703815,3.729000
-0.803818,-32.513954,0.419710,3.752000
-2.221184,-31.525618,1.368841,3.774000
-3.925538,-30.553423,2.467358,3.796000
-5.851037,-29.580025,3.765682,3.819000
-7.878223,-28.520573,5.098057,3.841000
-9.958958,-27.388599,6.398849,3.864000
-12.129745,-26.055975,7.648225,3.885000
-14.339449,-24.544338,8.818725,3.907000
-16.580126,-22.785988,10.015594,3.931000
-18.548393,-21.186453,10.927120,3.952000
-20.412657,-19.583551,11.852139,3.975000
-21.931770,-18.091921,12.666814,3.997000
-23.182030,-16.472797,13.401747,4.019000
-24.073444,-14.499043,14.129924,4.042000
-24.559288,-12.486760,14.706078,4.064000
-24.945946,-10.679751,15.143512,4.086000
-25.229715,-9.152016,15.447941,4.108000
-25.462002,-7.877762,15.566043,4.130000
-25.660269,-6.956656,15.475157,4.152000
-25.858862,-6.349910,15.305383,4.175000
-25.932295,-5.996940,15.055695,4.196000
-25.903847,-5.708863,14.690293,4.220000
-25.797249,-5.520268,14.218225,4.241000
-25.585615,-5.443326,13.661100,4.263000
-25.213226,-5.294230,12.971538,4.286000
-24.797308,-5.136206,12.521241,4.305000
-24.286140,-4.893461,12.038545,4.326000
-23.686510,-4.726067,11.613803,4.348000
-23.046652,-4.562259,11.245543,4.371000
-22.404118,-4.389749,10.904119,4.392000
-21.751661,-4.180205,10.601946,4.414000
-21.117638,-3.896281,10.332797,4.437000
-20.508589,-3.538345,10.055383,4.460000
-19.966419,-3.215564,9.763130,4.481000
-19.452574,-3.008958,9.463897,4.504000
-19.021370,-2.827247,9.135617,4.526000
-18.672272,-2.645168,8.892277,4.549000
-18.397984,-2.622342,8.744025,4.570000
-18.218334,-2.777250,8.638586,4.592000
-18.201700,-3.072506,8.517536,4.615000
-18.307089,-3.324745,8.371649,4.636000
-18.594297,-3.711183,8.274306,4.659000
-19.111765,-4.233221,8.205174,4.681000
-19.884779,-5.077904,8.155948,4.704000
-20.769556,-5.952940,8.136566,4.726000
-21.733273,-6.806440,8.132111,4.749000
-22.791817,-7.624581,8.176915,4.770000
-24.057972,-8.421247,8.243885,4.793000
-25.413511,-9.163641,8.346882,4.814000
-26.784767,-9.792579,8.486750,4.837000
-28.047462,-10.219007,8.647817,4.860000
-29.151348,-10.511395,8.817038,4.882000
-30.089132,-10.765477,9.047022,4.905000
-30.780294,-10.995647,9.282562,4.926000
-31.231363,-11.108469,9.444870,4.948000
-31.418623,-11.197351,9.535285,4.971000
-31.385786,-11.264265,9.540574,4.992000
-31.054502,-11.290698,9.473446,5.015000
-30.531446,-11.214187,9.353840,5.037000
-29.671833,-11.065015,9.145866,5.059000
-28.569881,-10.938342,8.912039,5.082000
-27.284203,-10.814408,8.614594,5.103000
-25.789852,-10.695727,8.254876,5.125000
-24.084057,-10.444691,7.805858,5.148000
-22.186367,-10.182521,7.314420,5.170000
-20.262575,-10.000353,6.834132,5.193000
-18.104769,-9.671814,6.353579,5.214000
-15.802142,-9.152022,5.874463,5.236000
-13.279669,-8.462488,5.265922,5.258000
-10.223969,-7.661034,4.358967,5.280000
-7.942627,-7.121818,3.566176,5.300000
-5.326494,-6.533076,2.645109,5.321000
-2.557882,-5.755479,1.880265,5.344000
0.220439,-4.992984,1.188669,5.366000
2.890042,-4.326966,0.652797,5.389000
5.680916,-3.657873,0.269478,5.411000
8.381318,-2.806607,0.002663,5.432000
11.252288,-2.064582,-0.270885,5.456000
13.920785,-1.501125,-0.426220,5.477000
16.745287,-1.021578,-0.448726,5.499000
19.844015,-0.659462,-0.413273,5.523000
22.650263,-0.354828,-0.356646,5.544000
25.737757,-0.041896,-0.353093,5.565000
28.629784,0.144363,-0.543939,5.588000
31.079258,0.161008,-0.906832,5.611000
33.359623,-0.040483,-1.340019,5.633000
35.618183,-0.279245,-1.660666,5.654000
37.585636,-0.602129,-1.922798,5.677000
39.204643,-0.970351,-2.011492,5.699000
40.706043,-1.315112,-1.961940,5.723000
41.871590,-1.577671,-1.887160,5.743000
42.736809,-1.915014,-1.653270,5.765000
43.609058,-1.966056,-1.207105,5.789000
44.410591,-1.747907,-0.956280,5.810000
44.903851,-1.506651,-0.902605,5.832000
45.151970,-1.509656,-0.805590,5.854000
45.239719,-1.582179,-0.650189,5.877000
45.375256,-1.775419,-0.418137,5.898000
45.669685,-1.998554,-0.247485,5.921000
46.170887,-2.254659,-0.299589,5.943000
46.688259,-2.568568,-0.627684,5.965000
47.155502,-2.899183,-1.226074,5.987000
47.449085,-3.288804,-1.860409,6.010000
47.618488,-3.828526,-2.386368,6.033000
47.960991,-4.441214,-2.718013,6.054000
48.334007,-5.004630,-2.921969,6.077000
48.634689,-5.515739,-3.072231,6.098000
49.160046,-6.077078,-3.160297,6.122000
49.865120,-6.625741,-3.364974,6.144000
50.705429,-7.205282,-3.600871,6.165000
51.695995,-7.720026,-3.982493,6.188000
52.618649,-8.206308,-4.616408,6.210000
53.501602,-8.737485,-5.440821,6.232000
54.190594,-9.339430,-6.222068,6.254000
54.631054,-10.289126,-6.733637,6.277000
54.816273,-11.661462,-6.916351,6.299000
54.542084,-13.066308,-6.912018,6.322000
54.146736,-14.174083,-6.775268,6.344000
53.916939,-14.948018,-6.694343,6.366000
53.802700,-15.441636,-6.758623,6.388000
53.883682,-15.622233,-6.751061,6.409000
54.220650,-15.699892,-6.905276,6.431000
54.380890,-15.834529,-7.211065,6.454000
54.381504,-15.775953,-7.466173,6.476000
54.438423,-15.675502,-7.808123,6.499000
54.499229,-15.789354,-7.937352,6.521000
54.449680,-15.712679,-7.899818,6.544000
54.363113,-15.375923,-7.858803,6.565000
54.337666,-14.805738,-7.846561,6.588000
54.489468,-14.364154,-7.920157,6.610000
54.782791,-14.109674,-7.942918,6.633000
