ElapsedTimeSeconds,ImpactPoint,ImpactNormal
4.376000,X=5663.301 Y=30021.232 Z=53.067,X=-0.388 Y=0.914 Z=-0.123
4.700000,X=5666.882 Y=30024.670 Z=55.250,X=-0.000 Y=1.000 Z=0.000
4.708000,X=5669.102 Y=30024.611 Z=55.196,X=-0.000 Y=1.000 Z=0.000
4.717000,X=5671.285 Y=30024.619 Z=55.167,X=-0.000 Y=1.000 Z=0.000
6.717000,X=6886.948 Y=30023.230 Z=52.787,X=-0.995 Y=0.000 Z=0.104
8.266000,X=6884.250 Y=30039.414 Z=48.751,X=-0.181 Y=0.983 Z=0.012
8.275000,X=6887.076 Y=30040.451 Z=48.811,X=-0.181 Y=0.983 Z=0.014
12.394000,X=11103.886 Y=29935.764 Z=65.544,X=-0.295 Y=0.947 Z=-0.125
24.441000,X=18715.680 Y=28388.840 Z=56.809,X=0.178 Y=0.980 Z=-0.087
